237	268
191350	191411
361730	361822
366690	366767
388163	388255
394910	395082
401939	402057
512257	512438
513552	513680
566398	566586
567237	567418
597097	597247
615674	615793
637704	637805
637913	638020
645669	645848
666216	666391
693419	693542
709708	709795
720032	720273
726451	726631
739241	739386
742840	743052
746851	746964
747956	748111
756718	756888
762912	763094
770236	770370
773160	773309
799637	799798
821369	821479
821876	822049
825085	825240
830870	831040
846351	846530
846840	846968
848592	848762
865470	865607
868264	868416
869268	869450
901274	901468
923849	924021
994487	994634
1243036	1243211
1279323	1279470
1281805	1281954
1336177	1336362
1374731	1374832
1391467	1391575
1437358	1437590
1481802	1481919
1531964	1532175
1553406	1553560
1583688	1583877
1704097	1704269
1714606	1714762
1732447	1732567
1733176	1733444
1766923	1767069
1862916	1862994
1887892	1887952
1950534	1950595
1988429	1988503
2001851	2002052
2004883	2004968
2007432	2007589
2028646	2028812
2031069	2031180
2032745	2032881
2033580	2033618
2037946	2038011
2039137	2039202
2041949	2042107
2064032	2064275
2065136	2065259
2077356	2077448
2089620	2089717
