4	2712
7424	7455
14884	14976
27073	27196
28057	28300
50225	50383
53130	53195
54321	54386
58714	58752
59451	59587
61152	61263
63520	63686
84743	84900
87364	87449
90280	90481
103829	103903
141737	141798
204380	204440
229338	229416
325263	325409
358888	359156
359765	359885
377570	377726
388063	388235
508455	508644
538772	538926
560157	560368
610413	610530
654742	654974
700757	700865
717500	717601
755970	756155
810378	810527
812862	813009
849121	849296
1097698	1097845
1168311	1168483
1190864	1191058
1222882	1223064
1223916	1224068
1226725	1226862
1229188	1229310
1243570	1243740
1245364	1245492
1245802	1245981
1261292	1261462
1267092	1267247
1270283	1270456
1270853	1270963
1292534	1292695
1319023	1319172
1321962	1322096
1329238	1329420
1335444	1335614
1344221	1344376
1345368	1345481
1349280	1349492
1352946	1353091
1365701	1365881
1372059	1372300
1382537	1382624
1398790	1398913
1425941	1426116
1446484	1446663
1454312	1454419
1454527	1454628
1476539	1476658
1495085	1495235
1524914	1525095
1525746	1525934
1578652	1578780
1579894	1580075
1690275	1690393
1697250	1697422
1704077	1704169
1725565	1725642
1730510	1730602
1900921	1900982
2220041	2220170
