2612	2709
14881	14973
27070	27193
28054	28297
50222	50380
53127	53192
54318	54383
58711	58749
59448	59584
61149	61260
63517	63683
84740	84897
87361	87446
90277	90478
103826	103900
141734	141795
204377	204437
229335	229413
325260	325406
358885	359153
359762	359882
377567	377723
388060	388232
508452	508641
538769	538923
560154	560365
610410	610527
654739	654971
700754	700862
717497	717598
755967	756152
810375	810524
812859	813006
849118	849293
1097695	1097842
1168308	1168480
1190861	1191055
1222879	1223061
1223913	1224065
1226722	1226859
1243567	1243737
1245361	1245489
1245799	1245978
1261289	1261459
1267089	1267244
1270280	1270453
1270850	1270960
1292531	1292692
1319020	1319169
1321959	1322093
1329235	1329417
1335441	1335611
1344218	1344373
1345365	1345478
1349277	1349489
1352943	1353088
1365698	1365878
1372056	1372297
1382534	1382621
1398787	1398910
1425938	1426113
1446481	1446660
1454309	1454416
1454524	1454625
1476536	1476655
1495082	1495232
1524911	1525092
1525743	1525931
1578649	1578777
1579891	1580072
1690272	1690390
1697247	1697419
1704074	1704166
1725562	1725639
1730507	1730599
1900918	1900979
2092061	2092091
